"","ID","Title","Premium","Period.Of.Rebalancing","Number.Of.Instruments","Markets.Traded","Instruments.Available","Complexity","Backtest.Period.Source","Backtest.Length","Indicative.Performance","Volatility","Maximum.Drawdown","Confidence.In.Anomaly","Keywords","Sharpe.Ratio","Fundamental reason","Hedge for stocks during bear markets","Introduction","Simple trading strategy","Source Paper"
"37",37,"Net Current Asset Value Effect","No","Yearly","100*","equities","stocks","Moderately complex strategy*","1980-2005",26,"31.19%*",NA,NA,"Strong*","stock picking, financial statements effect, value",0,"The NCAV rule forms portfolios filled with stocks with market capitalization lower than the amount of cash plus inventories they own. A lot of these stocks are so cheap because the companies are in distress and will eventually go bankrupt. But the rest of the stocks bought with an extreme discount statistically gain more and the overall portfolio return is highly positive.","No - Long only value stocks logically can't be used as a hedge against market drops as a lot of strategy's performance comes from equity market premium (as investor holds equities therefore his correlation to broad equity market is very very high). Now, evidence for using long-short value factor portfolio as a hedge against equity market is very mixed. Firstly, there are a lot of definitions of value factor (from a simple standard P/B ratios to various more complex definitions as in this strategy) and performance of different value factors really differ in times of stress. Also, there are multiple research papers in a tone of work of Cakici and Tan : ""Size, Value, and Momentum in Developed Country Equity Returns: Macroeconomic and Liquidity Exposures"" that link value factor premium to liquidity and growth risk and show that the implication is that value returns can be low prior to periods of low global economic growth and bad liquidity.","The net current asset value (NCAV/MV) strategy is the famous strategy popularized (and used) by the father of security analysis, Benjamin Graham, in the early twentieth century, bringing high profits from the 1930s to 1956. Per share NCAV, as defined by Graham (Graham and Dodd (1934), Graham (1976)), is the balance sheet current assets minus all the firm's (current and long-term) liabilities divided by the number of shares outstanding. Long-term asset (e.g. intangible assets and fixed assets) values are not counted. Graham found that companies satisfying the NCAV/MV strategy were often priced at significant discounts to estimates of the value that stockholders could receive in the event of the actual sale or liquidation of the entire corporation. Thus, the NCAV/MV rule not only protects capital from significant permanent loss, but also generates a portfolio of stocks with excellent prospects for an advance in price.","The investment universe consists of all stocks on the London Exchange. Companies with more than one class of ordinary shares and foreign companies are excluded. Also excluded are companies on the lightly regulated markets and companies which belong to the financial sector. The portfolio of stocks is formed annually in July. Only those stocks with an NCAV/MV higher than 1.5 are included in the NCAV/MV portfolio. This Buy-and-hold portfolio is held for one year. Stocks are weighted equally.","Xiao, Arnold: Testing Benjamin Graham's Net Current Asset Value Strategy in Londonhttp://papers.ssrn.com/sol3/papers.cfm?abstract_id=966188Abstract:It is widely recognized that value strategies - those that invest in stocks with low market values relative to measures of their fundamentals (e.g. low prices relative to earnings, dividends, book assets and cash flows) - tend to show higher returns. In this paper we focus on the early value metric devised and employed by Benjamin Graham - net current asset value to market value (NCAV/MV) - to see if it is still useful in the modern context. Examining stocks listed on the London Stock Exchange for the period 1981 to 2005 we observe that those with an NCAV/MV greater than 1.5 display significantly positive market-adjusted returns (annualized return up to 19.7% per year) over five holding years. We allow for the possibility that the phenomenon being observed is due to the additional return experienced on smaller companies (the ""size effect"") and still find an NCAV/MV premium. The profitability of this NCAV/MV strategy in the UK cannot be explained using Capital Asset Pricing Model (CAPM). Further, Fama and French's three-factor model (FF3M) can not explain the abnormal return of the NCAV/MV strategy. These premiums might be due to irrational pricing."
"38",38,"Accrual Anomaly","No","Yearly","1000*","equities","stocks","Complex strategy","1966-2003",38,"7.50%*","10.26%*",NA,"Strong","equity long short, stock picking, financial statements effect, accruals effect",0.34,"According to the research, an explanation for the accrual anomaly is the earnings fixation hypothesis. The hypothesis says that investors are fixed upon earnings and fail to pay attention separately to the cash-flow and accrual components of earnings. However, this is the main reason of the functionality of the accruals anomaly. Firstly, the cash-flow component of earnings is a superior and better forecaster of future earnings, if we would compare it with the accrual component of earnings. Therefore, investors who are not able to distinct between true earnings and accruals can become overly optimistic about the future prospects of firms with high accruals. Moreover, they can become even overly pessimistic about the future prospect of firms with low accruals. Naturally, if we take into account that the aforementioned is not correct, this results in overvalued high accruals firms that subsequently earn low abnormal returns. And vice versa, low accruals firms become undervalued, what is followed by the high abnormal returns. Additionally, a recent research states that there are two different accruals anomalies with interesting implication for the practical usage. Quoting the Detzel, Schaberl and Strauss and their work: ""There are Two Very Different Accruals Anomalies"": ""We document that several well known asset-pricing implications of accruals differ for investment and non-investment-related components. Exposure to an investment-accruals factor explains the cross-section of returns better than the accruals themselves, and this factor’s returns are negatively predicted by sentiment. The opposite results hold for non-investment accruals. Further tests show cash profitability only subsumes long-term non-investment accruals in the cross-section of returns and economy-wide investment accruals negatively predict stock-market returns while other accruals do not. These results challenge existing accruals-anomaly theories and help resolve mixed evidence by showing that the anomaly is two separate phenomena: a risk-based investment accruals premium and a mispricing of non-investment accruals.""","Not known - Source and related research papers don't offer insight into correlation structure of accruals trading strategy to equity market risk, therefore we do not know if this strategy can be used as a hedge/diversification during time of market crisis. Strategy using accruals is usually built as a long-short, but it can be split into 2 parts. Long leg of strategy is surely strongly correlated to equity market however short-only leg can be maybe used as a hedge during bad times. Rigorous backtest is however needed to determine return/risk characteristics and correlation.","The accrual anomaly is deeply connected with the non-cash component of earnings - the accruals. Firstly documented by the Sloan(1996), the accruals anomaly is the negative association between accounting accruals and subsequent stock returns. The theory connected with this particular anomaly is based on the importance of measuring if the company's earnings (as reported by company management) are based on real cash-flow or questionable accounting practices. According to the research, firms with the low levels of accruals are connected with real earnings and on the other hand, firms with the high level of accruals could be a result of some accounting practice. As a result, stocks with low accruals should earn higher market returns than high accruals stocks. Moreover, according to the LaFond and his work ""Is the Accrual Anomaly a Global Anomaly?"", this anomaly is globally present. Quoting the author: "" I investigate the returns implications of accruals in 17 countries over the 1989 to 2003 time period. In general, the results of country-specific analysis indicate that the accrual anomaly is a global phenomenon.""Although, this anomaly could be exploited by acquiring a long position in low accruals companies and a short position in high accruals companies, a more recent research suggest that a simple accruals strategy not only could, but should be enhanced, while using the simple accruals anomaly as a building block. Although, the strategy could not be traded away as easily and is connected with the lower institutional interest, this is caused by the characteristics of high accruals stocks. These stocks are often connected with the small capitalization, some liquidity issues and high transaction costs. For example, Mohanram in the: ""Analysts’ Cash Flow Forecasts and the Decline of the Accruals Anomaly"", states that: ""The accruals anomaly, demonstrated by Sloan (1996), generated significant excess returns consistently for over four decades until 2002, but has apparently weakened in the subsequent period. "" On the other hand, Bender and Nielsen in their paper: ""Earnings Quality Revisited"", have found that the earnings quality signal stopped working in the mid-2000s but since the end of 2008 has staged a remarkable rebound.","The investment universe consists of all stocks on NYSE, AMEX and NASDAQ. Balance sheet based accruals (the non-cash component of earnings) are calculated as:BS_ACC = ( ∆CA - ∆Cash) - ( ∆CL - ∆STD - ∆ITP) - DepWhere:∆CA = annual change in current assets∆Cash = change in cash and cash equivalents∆CL = change in current liabilities∆STD = change in debt included in current liabilities∆ITP = change in income taxes payableDep = annual depreciation and amortization expenseStocks are then sorted into deciles and investor goes long stocks with the lowest accruals and short stocks with the highest accruals. Portfolio is rebalanced yearly during May (after all companies publish their earnings).","Lev, Nissim: The Persistence of the Accruals Anomalyhttp://papers.ssrn.com/sol3/papers.cfm?abstract_id=546108Abstract:The accruals anomaly - the negative relationship between accounting accruals and subsequent stock returns - has been well documented in the academic and practitioner literatures for almost a decade. To the extent that this anomaly represents market inefficiency, one would expect sophisticated investors to learn about it and arbitrage the anomaly away. Yet, we show that the accruals anomaly still persists and its magnitude has not declined over time. While we find that institutional investors react promptly to accruals information, it is clear that their reaction is rather weak and is primarily characteristic of active investors who constitute a minority of institutions. The main reason: Extreme accruals firms have characteristics which are unattractive to most institutional investors. Individual investors are by and large unable to profit from trading on accruals information due to the high transaction and information costs associated with implementing a consistently profitable accruals strategy. Consequently, the accruals anomaly persists, and will probably endure."
"39",39,"Market Timing with Aggregate Accruals","Yes","Yearly","1","equities","funds, ETFs, CFDs, futures","Moderately complex strategy","1980-2005",26,"34.00%*","37.70%*",NA,"Moderately strong","market timing, accruals effect",0.8,NA,NA,NA,NA,NA
"40",40,"High-Frequency Arbitrage with ETF Twins","Yes","Intraday","2","equities","ETFs","Very complex strategy","2004-2010",7,"28.91%*","14.69%*",NA,"Strong","equity long short, arbitrage, pairs trading",1.7,NA,NA,NA,NA,NA
"41",41,"Turn of the Month in Equity Indexes","No","Daily","1","equities","ETFs, futures, funds, CFDs, options","Simple strategy","1926-2005",80,"7.20%*","6.90%*",NA,"Strong","market timing, seasonality",1554076800,"Although the turn of the month is really simple anomaly, it is a big challenge for the academic world to explain the potential reasons for the functionality. Although the effect is more pronounced among small-cap and low-price stocks, it also exists for large-cap and for high-price stocks. The effect could exist because of returns at the turn-of-the-year, however it does not. The effect occurs at turns-of-the-month that coincides with turns-of-the-year, but it also occurs during other months. Likewise, the turn-of-the month effect is not concentrated at calendar-year quarter-ends. The reason for functionality also is not a risk based, the paper has explored whether higher “risk” at the turn-of-the-month can explain this pattern. Using standard deviation of return as a measure of risk, it was found that risk is not higher during the four turn-of-the-month days than over the other 16 trading days of the month. This implicates that higher risk does not appear to explain the turn-of-the-month effect. Moreover, also a systematic monthly shift in interest rates does not appear to explain the turn-of-the-month pattern in equity returns. Interestingly,  the turn-of-the-month effect occurs in 30 different markets, so we can conclude that the effect is apparently not due to a factor unique to the U.S. market structure.On the other hand, Ogden (1990) proposes that the turn-of-the-month effect is due to a “regularity in payment” dates in the U.S.  The aforementioned is based on fact that investors receive a preponderance of compensation from employment, dividends and interest at month-ends. Consequently, as investors seek to invest these funds, equity prices are pushed up. Unfortunately, the paper provided tests that reject this hypothesis. The overall problem of finding some reason to functionality is supported also by the work of McConnell and Xu: ""Equity Returns at the Turn of the Month"". Quoting the authors: ""This persistent peculiarity in returns remains a puzzle in search of an answer."" However, most researchers ascribe this effect to the timing of monthly cash flows received by pension funds which are reinvested in the stock market. End of the month is also a natural point for portfolio/trading models rebalancing both for retail and professional investors. The aforementioned could also help this effect to become statistically significant. However, a caution is needed if one implements this strategy as calendar effects tends to vanish or rotate to different days in month.","Not known - Strategy is timing equity market but invests long-only into equity market factor therefore is not suitable as a hedge/diversification during market/economic crises. Strategy's goal is to hold equity market only in a positive times for equity market factor and be out of equities otherwise. This logic can be maybe used to create amended market timing strategy (using original rules) which is out of equities during positive times and holds bonds (or goes short equities) during bad times. This new amended strategy can be maybe used as a hedge/diversification to equity market risk factor during bear markets. However, performance/risk characteristics and overall correlation and quality of suggested ammended strategy can be find out only by rigorous backtest and source academic research paper doesn't give us any clues on how it will perform...","Lakonishok and Smidt (1988) were the first to have reported a turn-of-the month seasonal in equity returns. The beginning of turn-of-the-month period is defined as the last trading day of the month and ending with the third trading day of the following month. More precisely, the researchers have found that, on average, the four days at the turn-of-the-month account for all of the positive return to the DJIA over the period of 1897-1986. Since then, a lot of research have been made on this topic and this paper also deals with this anomaly, but with a more recent and wider set of data. The pattern in returns over the period of the paper is remarkably similar to the pattern over the earlier time period. Interestingly, in the more recent period, we can conclude the same pattern as in the work of Lakonishok and Smidt, virtually all of the excess market return is accrued during the four-day turn-of-the-month period and investors received little or no reward for bearing the market risk over the other 16 trading days of the month. Despite the simplicity of the trading strategy based on this anomaly (for example to buy SPY ETF 1day before end of the month and to sell it 3rd trading day of the new month at the close), the strategy is both profitable and statistically significant. Moreover, this anomaly cannot be explained by the known asset pricing models. To sum it up, the turn of the month is a well known effect on stock indexes, with a simple idea that stocks prices usually increase during the last four days and the first three days of each month. This supports for example the Carchano and Tornero in the ""Calendar Anomalies in Stock Index Futures"". Quoting the authors: ""our analysis reveals that the turn-of-the-month effect in S&P 500 futures contracts is the only calendar effect that is statistically and economically significant and persistent over time.""","Buy SPY ETF 1day (some papers says 4 days) before end of the month and sell 3rd trading day of the new month at the close.","Xu, McConnell: Equity Returns at the Turn of the Monthhttp://papers.ssrn.com/sol3/papers.cfm?abstract_id=917884Abstract:      A turn-of-the-month effect in U.S. equity returns was initially identified by Lakonishok and Smidt (1988) using the DJIA for the period 1897-1986. According to the turn-of-the-month effect, equity returns over the interval beginning the last trading day of the month and ending three days later are significantly higher than over other days. Using CRSP daily returns, we find that the turn-of-the-month effect persists over the recent interval of 1987-2005: in essence, over this 19-year period (and over the 109-year period of 1897-2005) all of the excess market return occurred during the four-day turn-of-the-month interval. Thus, during the other 16 trading days of the month, on average, investors received no reward for bearing market risk. We further find that the turn-of-the-month effect is not confined to small or low-priced stocks; it is not confined to the December-January turn-of-the-month; it is not confined to calendar-quarter-ends; it is not confined to the U.S.; and it is not due to market risk as traditionally measured: the standard deviation of returns at the turn-of-the-month is no higher than during other days. This persistent peculiarity in equity returns poses a challenge to both ""rational"" and ""behavioral"" models of asset pricing."
"42",42,"Alpha Cloning - Following 13F Fillings","No","Quarterly","100*","equities","stocks","Moderately complex strategy","1991-2005",15,"20.21%*",NA,NA,"Strong","stock picking",0,"Mutual fund managers must have highly diversified investment portfolios as current investment doctrine doesn’t recommend highly concentrated portfolios, and most investment managers have fear to significantly divert from relevant benchmark. But stocks which are managers “best ideas” (high-conviction positions) are often over-weighted in their portfolios. These are also usually stocks which are most understood by those managers. It is therefore fundamentally feasible to track those “best ideas”.","No - Selected strategy is designed as a long-only therefore it can't be used as a hedge against market drops as a lot of strategy's performance comes from equity market premium (as investor holds equities therefore his correlation to broad equity market is very very high).","Portfolio managers can't pick stocks - this is a common saying in popular press and between proponents of index investments. But research shows it is not such an evident truth. Mutual/hedge fund managers in reality can pick stocks but are often too diversified and their ""best picks"" therefore cannot deliver such a spectacular performance as fund's performance is dragged down by rest of the portfolio. The 13F Fillings Following system is based on assumption that stocks in which mutual fund managers (and hedge fund managers) are mostly concentrated (their best ideas) are stocks which will outperform the broad equity index. SEC 13F fillings could be used to track top holdings positions in mutual funds.","Create a universe of active mutual fund managers. Use 13F filings to identify the “best idea” stocks for each manager. Invest into the stocks which are the “best ideas” for the most of the managers.","Cohen, Folk, Silli: Best Ideashttp://papers.ssrn.com/sol3/papers.cfm?abstract_id=1364827Abstract:      We examine the performance of stocks that represent managers' ""Best Ideas."" We find that the stock that active managers display the most conviction towards ex-ante, outperforms the market, as well as the other stocks in those managers' portfolios, by approximately 1.6 to 2.1 percent per quarter depending on the benchmark employed. The results for managers' other high-conviction investments (e.g. top five stocks) are also strong. The other stocks managers hold do not exhibit significant outperformance. This leads us to two conclusions. First, the U.S. stock market does not appear to be efficiently priced by our risk models, since even the typical active mutual fund manager is able to identify stocks that outperform by economically and statistically large amounts. Second, consistent with the view of Berk and Green (2004), the organization of the money management industry appears to make it optimal for managers to introduce stocks into their portfolio that are not outperformers. We argue that investors would benefit if managers held more concentrated portfolios."
"43",43,"Gold Market Timing","Yes","Monthly","1","commodities","ETFs, funds, futures","Simple strategy","1968-2005",38,"31.00%*","29.63%*",NA,"Moderately strong","market timing",0.91,NA,NA,NA,NA,NA
"44",44,"Paired Switching","No","Quarterly","2","equities, bonds","stocks, ETFs, funds","Simple strategy","1991-2011",21,"11.30%*","9.30%*",NA,"Moderately strong","momentum, asset class picking, rotational system, market timing, fund picking",0.78,"There is high probability that portfolio performance is lower in case of mix than return for individual assets if two assets are negatively correlated. The strategy's performance then depends on accuracy of the timing rule.","Partially - Selected strategy is a class of ""Tactical asset allocation"" strategies like the one proposed by Mebane Faber in his famous paper ""A Quantitative Approach to Tactical Asset Allocation"". Selected strategy contains equities and TAA strategy tries to rotate out of them during time of stress. Therefore proposed strategy isn't mainly used as an addon to portfolio to hedge equity risk directly, but it is more an overlay which can be used to manage percentual representation of equities (or ""equity like asssets"") in a portfolio.  Tactical asset allocation framework can decrease overall risk of equities in a portfolio and it can improve the risk-adjusted returns.","Paired switching strategy is a subset of asset rotational strategies. The simplest form uses two assets (or stocks) which have a negative correlation. Investors then invest in one pair and periodically switch position based on relative performance (or some other criterion). The strategy is based upon the idea that it is easier to exploit negative correlation by switching between two assets than by traditional asset mixing. As both assets are negatively correlated, there is high probability that portfolio performance is lower in case of mix than return for individual assets. Academic research shows that if the criterion for switching is even minimally accurate, there is a probability of improving the performance over the portfolio wherein the two assets are statically weighted. The simplicity of this idea is attractive therefore we decided to create an independent entry for the strategy as we think that some elements of it could be used in other more complex constructions.","This strategy is very flexible. Investors could use stocks, funds or ETFs as an investment vehicle. We show simple trading rules for a sample strategy from the source research paper.The investor uses two Vanguard funds as his investment vehicles - one equity fund (VFINX) and one government bond fund (VUSTX). These two funds have a negative correlation as they are proxies for two negatively correlated asset classes. The investor looks at the performance of the two funds over the prior quarter and buys the fund that has the higher return during the ranking period. The position is held for one quarter (the investment period). At the end of the investment period the cycle is repeated.","Maewal, Bock: Paired-Switching for Tactical Portfolio Allocationhttp://papers.ssrn.com/sol3/papers.cfm?abstract_id=1917044Abstract: Paired-switching refers to investing in one of a pair of negatively correlated equities/ETFs/Funds and periodic switching of the position on the basis of either the relative performance of the two equities/ETFs/Funds over a period immediately prior to the switching or some other criterion. It is based upon the idea that if the returns of two equities are negatively correlated, the overlapping of the periods during which the equities individually yield returns greater than their mean values will be infrequent. Consequently, if the criterion for switching is even minimally accurate in its ability to identify the boundaries of such periods, there is a possibility of improving the performance of the portfolio consisting of the two equities over the portfolio wherein the two equities are statically weighted on the basis of traditional methods such as, for example, variance minimization. In this paper we present some results that indicate that some very simple criteria for paired-switching can lead to lower volatility without any significant penalty in terms of lower returns."
"45",45,"Short Interest Effect - Long-Short Version","No","Monthly","1000*","equities","stocks","Complex strategy*","1988-2005",18,"19.70%*","17.14%*",NA,"Moderately strong*","stock picking, equity long short",0.92,"The literature offers two popular explanations for this predictability, namely the overvaluation hypothesis and the information hypothesis. The first possible explanation for the short interest effect - the overvaluation hypothesis stems from the work of Miller (1977). His theory says, that stocks with high levels of short interest are overvalued because pessimistic investors are unable to establish short positions, leaving only the optimists to participate in the pricing process. In this model, market forces are unable to prevent overpricing in the amount of shorting costs when these costs are high. The greater the shorting costs, the greater the possible overpricing, and therefore, the lower the subsequent stock returns. The second and probably more valid explanation is the information hypothesis. The information hypothesis builds on a broadening base of empirical research demonstrating that short sellers are well informed traders. The aforementioned could be the reason for the functionality, because if one follows the decisions of the short-sale practitioners, whose tend to be investors with superior analytical skills (for example according to the research of Gutfleish and Atzil, 2004). The main idea is simple, the research says, that this type typically initiate short positions only if they can infer low fundamental valuation from public sources. For example, short sellers may engage in forensic accounting, looking for high levels of accrual as evidence of hidden bad news, but there is a large ammount of possibilities than just accruals.","Not known - Source and related research papers don't offer insight into correlation structure of proposed trading strategy to equity market risk, therefore we do not know if this strategy can be used as a hedge/diversification during time of market crisis. Strategy is built as a long-short, but it can be split into 2 parts. Long leg of strategy is surely strongly correlated to equity market however short-only leg can be maybe used as a hedge during bad times. Rigorous backtest is however needed to determine return/risk characteristics and correlation.","In the past, academic research has showed that stocks with the high levels of short interest are connected with a high probability to subsequently experience negative abnormal returns. Therefore, the common sense implies that it should be possible to gain an advantage of the aforementioned stocks. The theory says that shorting stocks with all the constrains (connected with the shorting) is most often made by the informed investors whose activity ultimately helps prices incorporate more information. Moreover, the level of their holdings has predictive power about returns and fundamentals of the stocks. Knowing the short-interest can lead to a strategy that consists of simply joining informed short-sellers. The long-short variation (our screener includes also the long only variant) of this strategy would be simply performed by the shorting stocks with a high short interest and going long stocks with a low short interest. Overally, the academic world support this anomaly, for example Asquith, Pathak and Ritter in their work ""Short Interest, Institutional Ownership, and Stock Returns"", say that ""Stocks are short sale constrained when there is a strong demand to sell short and a limited supply of shares to borrow. Using data on both short interest, a proxy for demand, and institutional ownership, a proxy for supply, we find that constrained stocks underperform during 1988-2002 by a significant 215 basis points per month on an EW basis, although by only an insignificant 39 basis points per month on a VW basis. For the overwhelming majority of stocks, short interest and institutional ownership levels make short selling constraints unlikely."" Additionaly, the authors of this paper state that: ""The cross-sectional relation between short interest and future stock returns vanishes when controlling for short sellers’ information about future fundamental news. Thus, short sellers contribute, in a significant manner, to price discovery about firm fundamentals."" Last but not least, this long-short strategy has a low correlation to the overall market and therefore the strategy could have a usage as a portfolio diversifier.","All stocks from NYSE, AMEX and NASDAQ are part of the investment universe. Stocks are then sorted each month into short-interest deciles based on the ratio of short interest to shares outstanding. The investor then goes long on the decile with the lowest short ratio and short on the decile with the highest short ratio. The portfolio is rebalanced monthly and stocks in the portfolio are weighted equally.","Akbas, Boehmer, Erturk, Sorescu: Why Do Short Interest Levels Predict Stock Returns?https://pdfs.semanticscholar.org/0641/8ef437dc7156229532a97d0f8392373eb297.pdfhttp://comp.uark.edu/~tjandik/seminar/ShortSales_JAN_31_2008_TFF.pdfAbstract:High levels of short interest predict negative abnormal returns, but the reasons for this predictability are not well understood. Two popular explanations suggest very different interpretations. According to Miller (1977), stocks are overvalued in the presence of short-sale constraints, and the subsequent negative abnormal returns represent a correction of this overvaluation. Based on recent evidence in the accounting and microstructure literature, an alternative explanation is that short sellers are highly informed traders and short interest, therefore, predicts future returns due to its information content. We discriminate between the overvaluation and the information hypotheses and find support for the latter. Therefore, our evidence suggests that short sellers act as specialized monitors who generate value-relevant information in the stock market."
"46",46,"Short Interest Effect - Long Only version","No","Monthly","230*","equities","stocks","Complex strategy*","1988-2005",18,"26.80%*",NA,NA,"Strong*","stock picking",0,"The literature offers two popular explanations for this predictability, namely the overvaluation hypothesis and the information hypothesis. The first possible explanation for the short interest effect - the overvaluation hypothesis stems from the work of Miller (1977). His theory says, that stocks with high levels of short interest are overvalued because pessimistic investors are unable to establish short positions, leaving only the optimists to participate in the pricing process. In this model, market forces are unable to prevent overpricing in the amount of shorting costs when these costs are high. The greater the shorting costs, the greater the possible overpricing, and therefore, the lower the subsequent stock returns. The second and probably more valid explanation is the information hypothesis. The information hypothesis builds on a broadening base of empirical research demonstrating that short sellers are well informed traders. The aforementioned could be the reason for the functionality, because if one follows the decisions of the short-sale practitioners, whose tend to be investors with superior analytical skills (for example according to the research of Gutfleish and Atzil, 2004). The main idea is simple, the research says, that this type typically initiate short positions only if they can infer low fundamental valuation from public sources. For example, short sellers may engage in forensic accounting, looking for high levels of accrual as evidence of hidden bad news, but there is a large ammount of possibilities than just accruals.","No - Selected strategy is designed as a long-only therefore it can't be used as a hedge against market drops as a lot of strategy's performance comes from equity market premium (as investor holds equities therefore his correlation to broad equity market is very very high).","In the past, academic research has proved that stocks with the high levels of short interest are connected with a high probability to subsequently experience negative abnormal returns. Therefore, the common sense implies that it should be possible to gain an advantage of the aforementioned stocks. The theory says that shorting stocks with all the constrains (connected with the shorting) is most often made by the informed investors whose activity ultimately helps prices incorporate more information. Moreover, the level of their holdings has predictive power about returns and fundamentals of the stocks. Knowing the short-interest can lead to a strategy that consists of simply joining informed short-sellers. Additionally, if we consider only the long-leg of the possible strategy, an easily shorted stock that is completely avoided by short sellers suggests unanimity among market participants that the stock is, at a minimum, not overvalued. Academic research not only supports this theory, but it has shown that it is profitable to own stocks with very low short interest. Therefore, the trading strategy simply consists of holding stocks with the low short interest. Overally, the academic world support this anomaly, for example Asquith, Pathak and Ritter in their work ""Short Interest, Institutional Ownership, and Stock Returns"", say that ""Stocks are short sale constrained when there is a strong demand to sell short and a limited supply of shares to borrow. Using data on both short interest, a proxy for demand, and institutional ownership, a proxy for supply, we find that constrained stocks underperform during 1988-2002 by a significant 215 basis points per month on an EW basis, although by only an insignificant 39 basis points per month on a VW basis. For the overwhelming majority of stocks, short interest and institutional ownership levels make short selling constraints unlikely."" Additionaly, the authors of this paper state that: ""The cross-sectional relation between short interest and future stock returns vanishes when controlling for short sellers’ information about future fundamental news. Thus, short sellers contribute, in a significant manner, to price discovery about firm fundamentals."" Last but not least, the main advantage of the the aforementioned utilization of the anomaly is that it could be easily implemented as a long-only strategy, while still having attractive parameters (e.g. a small market beta).","All stocks from NYSE, AMEX and NASDAQ are part of the investment universe. The short interest ratio is used as the predictor variable. Stocks are sorted based on their short interest ratio and the first percentile is held. The portfolio is equally weighted and rebalanced monthly.","Boehmer, Huszar, Jordan: The Good News in Short Interesthttp://papers.ssrn.com/sol3/papers.cfm?abstract_id=1405511Abstract:We study the information content in monthly short interest using NYSE-, AMEX-, and NASDAQ-listed stocks from 1988 to 2005. We show that stocks with relatively high short interest subsequently experience negative abnormal returns, but the effect can be transient and of debatable economic significance. In contrast, we find that relatively heavily traded stocks with low short interest experience both statistically and economically significant positive abnormal returns. These positive returns are often larger (in absolute value) than the negative returns observed for heavily shorted stocks. Because stocks with greater short interest are priced more accurately, our results suggest that short selling promotes market efficiency. However, we show that positive information associated with low short interest, which is publicly available, is only slowly incorporated into prices, which raises a broader market efficiency issue. Our results also cast doubt on existing theories of the impact of short sale constraints."
"47",47,"Changes in Long Term Rates Predict FX Rates","Yes","Monthly","10","currencies","futures, forwards, swaps, CFDs","Moderately complex strategy","1975-2009",35,"5.92%*","3.67%*",NA,"Strong","FX anomaly, forex system",0.52,NA,NA,NA,NA,NA
"48",48,"Term Spread Predicts FX Rates","Yes","Monthly","10","currencies","futures, forwards, swaps, CFDs","Moderately complex strategy","1975-2009",35,"6.66%*","3.94%*",NA,"Strong","FX anomaly, forex system",0.68,NA,NA,NA,NA,NA
"49",49,"S&P 500 Index Addition Effect","Yes","Daily","5*","equities","stocks","Simple strategy","1993-2002",10,"114.00%*",NA,NA,"Moderately strong","stock picking",0,NA,NA,NA,NA,NA
